"cellIndex","windowIndex","frameIndex","termination","Duration","avgSpeed","maxSpeed"
1,1,4,18,15,12.3223806266667,30.32419
1,1,30,38,9,3.10330496666667,8.615866
1,1,44,56,13,7.68347144615385,13.84902
1,1,60,65,6,2.74836636666667,7.615086
1,1,70,82,13,4.9867243,13.36517
1,2,4,19,16,14.6490702,31.27129
1,2,43,56,14,11.7605101428571,27.90795
1,2,59,63,5,2.97208522,6.176021
1,2,72,82,11,8.54579226363636,21.03613
1,3,4,19,16,15.0544515625,27.88867
1,3,28,32,5,4.4590138,10.06447
1,3,43,51,9,17.2835228888889,31.90935
1,3,59,63,5,4.1344128,9.028041
1,3,74,83,10,7.6841589,16.36174
1,3,87,90,4,15.50055925,26.87456
1,4,3,19,17,13.2199153941176,30.71051
1,4,29,33,5,5.3978136,11.5318
1,4,42,55,14,16.9871319285714,28.40074
1,4,59,64,6,7.08529016666667,14.42552
1,4,74,90,17,5.19073085588235,18.06988
1,5,3,18,16,13.017557775,32.73969
1,5,30,36,7,6.19804193142857,14.6645
1,5,42,54,13,17.0421067769231,29.63691
1,5,58,65,8,7.322227875,13.27194
1,5,80,90,11,5.77581263636364,8.43933
1,6,5,23,19,11.9983137958947,32.55985
1,6,31,38,8,5.554666475,15.34001
1,6,42,53,12,15.2084096666667,29.14301
1,6,59,67,9,7.05856366666667,14.29586
1,6,81,89,9,7.65884266666667,14.25239
1,7,7,23,17,13.6688185176471,28.88534
1,7,31,38,8,9.049878375,18.32613
1,7,41,56,16,10.19306656,22.38591
1,7,62,72,11,8.78473571818182,22.03313
1,7,82,89,8,9.757210125,19.9968
1,8,2,22,21,10.140979442381,21.67609
1,8,34,58,25,10.483209992,27.21616
1,8,63,72,10,8.3082825,18.30487
1,8,82,90,9,11.4877000777778,23.26138
1,9,2,22,21,14.1161053809524,27.071
1,9,39,59,21,13.6444376666667,29.66435
1,9,64,73,10,10.04290967,16.53091
1,9,83,90,8,17.51497125,23.47115
1,10,2,15,14,13.12256255,33.88713
1,10,44,59,16,12.5248165,23.8463
1,10,65,73,9,9.97736777777778,13.03116
1,10,83,90,8,19.39953,26.00728
1,11,2,10,9,11.3403754111111,19.93448
1,11,44,59,16,15.441226375,30.9166
1,11,65,74,10,4.02001961,8.316563
1,11,83,90,8,19.46926125,35.88357
1,12,2,8,7,11.1410591428571,17.0061
1,12,44,53,10,18.2067804,35.04932
1,12,65,69,5,3.1041706,7.25163
1,12,72,75,4,2.7331685,8.315172
1,12,84,90,7,15.9491168571429,34.63676
1,13,2,8,7,12.5570462857143,21.02389
1,13,44,52,9,18.7665025555556,31.81717
1,13,72,75,4,5.839107175,9.397426
1,13,86,90,5,15.59685686,32.76283
1,14,2,8,7,17.4814091428571,26.84713
1,14,45,52,8,19.051535,31.71012
1,14,56,61,6,12.6801341333333,25.85348
1,14,71,76,6,4.46914696666667,10.38211
1,15,2,12,11,16.8346330909091,32.42142
1,15,45,62,18,16.1817642777778,25.30565
1,15,70,76,7,6.49495948571429,11.43399
1,16,4,12,9,18.8495566666667,39.77071
1,16,45,53,9,17.4040896777778,28.25683
1,16,56,63,8,12.480719875,29.06558
1,16,70,77,8,6.458701,12.49173
1,17,5,11,7,17.24551,35.30691
1,17,47,53,7,15.7313531428571,23.08699
1,17,57,63,7,14.7281855714286,30.15926
1,17,70,79,10,6.25546506,11.83616
1,18,2,10,9,13.1641394444444,30.46786
1,18,47,53,7,15.9406714285714,25.57489
1,18,71,79,9,7.75391011111111,13.40363
1,19,2,11,10,17.500689,38.21679
1,19,47,52,6,18.0452325,25.77619
1,19,61,65,5,8.087498,25.0224
1,19,70,80,11,12.274077,20.7507
1,20,3,11,9,17.9127042222222,35.80209
1,20,47,52,6,17.4182917143333,27.48011
1,20,58,81,24,16.5993191666667,28.30261
1,21,4,10,7,17.95986,29.54128
1,21,62,66,5,12.291066,28.33871
1,21,68,83,16,16.84507285625,27.88857
1,22,4,10,7,14.1383102857143,29.1947
1,22,70,80,11,18.7919177272727,28.16412
1,22,85,88,4,19.76255425,34.28576
1,23,8,11,4,18.4533105,29.65873
1,24,8,13,6,14.6549313333333,29.29704
1,25,7,15,9,10.2336558888889,30.23407
1,25,70,79,10,16.084317,28.81819
1,25,86,89,4,3.3289215,9.619564
1,26,4,9,6,5.75332741666667,12.42627
1,26,13,18,6,17.9394033333333,34.26423
1,26,69,76,8,23.20286625,34.48799
1,27,3,10,8,15.46966775,28.27752
1,27,15,18,4,21.467966,39.21213
1,27,40,47,8,17.07011775,39.82773
1,29,67,70,4,5.94987825,11.84452
1,30,8,21,14,16.2781042142857,28.61977
1,31,7,20,14,16.2987432142857,27.47838
1,32,7,20,14,17.1266280714286,28.43804
1,32,64,69,6,10.6947428333333,19.55767
1,32,78,82,5,7.47611866,22.92443
1,33,7,14,8,18.9488165,26.80025
1,33,54,60,7,14.4657450857143,32.13032
1,33,63,69,7,3.76235468571429,7.403757
1,33,74,82,9,19.8749695555556,31.75124
1,34,2,13,12,22.73116525,31.62875
1,34,54,59,6,12.1311048333333,25.64125
1,34,73,84,12,16.4481953333333,25.11635
1,35,2,13,12,22.5101799,30.92716
1,35,47,50,4,3.36852925,10.69393
1,35,55,59,5,8.757673,19.47145
1,35,74,84,11,20.8571831818182,28.98691
1,36,2,13,12,21.1254868333333,31.55337
1,36,32,37,6,13.0401815,27.89017
1,36,39,44,6,13.0581601666667,28.94365
1,36,55,59,5,7.5882146,17.56553
1,36,61,71,11,4.61062886363636,10.25962
1,36,73,77,5,16.7880986,29.84506
1,37,2,12,11,20.0892491818182,30.40618
1,37,25,28,4,3.410997,9.598797
1,37,32,37,6,13.2364928333333,26.65587
1,37,40,44,5,10.7847282,18.96906
1,37,55,58,4,5.61044785,11.62524
1,37,61,65,5,7.97058864,13.8643
1,37,67,71,5,5.22835838,10.21243
1,37,73,90,18,17.5801660055556,33.77348
1,38,2,12,11,15.3023086363636,25.70598
1,38,32,36,5,8.7793932,15.81537
1,38,41,45,5,9.5623318,21.44997
1,38,61,64,4,8.83225585,15.14123
1,38,68,84,17,12.4974829411765,26.75458
1,39,2,13,12,14.0497900833333,25.836
1,39,60,64,5,5.9672534,15.55032
1,39,69,82,14,12.9977200642857,18.79597
1,40,4,13,10,17.1302305,27.77389
1,40,49,53,5,14.5774058,27.95752
1,40,56,63,8,6.774305375,11.3532
1,40,70,80,11,13.9533463636364,21.30492
1,41,2,13,12,12.1634497,24.02428
1,41,25,28,4,7.91408,15.81693
1,41,32,37,6,14.2261172,24.96242
1,41,41,46,6,12.4371718333333,26.18897
1,41,48,53,6,13.5407436666667,27.43288
1,41,56,62,7,11.7868928,19.89418
1,41,69,80,12,12.5029216666667,21.42558
1,42,3,12,10,6.47520389,12.4648
1,42,18,22,5,3.4397046,9.57525
1,42,31,38,8,11.03904575,21.15796
1,42,41,53,13,8.69579159230769,18.22193
1,42,56,62,7,10.5856302857143,22.8168
1,42,68,80,13,10.4651641961538,18.48213
1,43,5,11,7,2.53104264285714,5.554782
1,43,18,21,4,2.809955125,5.454899
1,43,29,39,11,8.57211538181818,15.92998
1,43,43,54,12,3.76308336916667,10.69639
1,43,56,62,7,6.49537928571429,14.49102
1,43,67,80,14,5.46665448571429,12.06111
1,43,87,90,4,13.92092125,22.53857
1,44,29,39,11,11.1467681636364,24.63654
1,44,45,53,9,5.34725684111111,12.09043
