"cellIndex","windowIndex","frameIndex","termination","Duration","avgSpeed","maxSpeed"
1,1,6,23,18,6.14793745566747,8.84484444098826
1,1,26,34,9,7.09090706032252,13.0436437981913
1,1,63,77,15,6.76989087402283,14.4040639785392
1,2,4,10,7,5.17975101724445,10.262925025571
1,2,14,34,21,5.20119517642303,9.71243309408596
1,2,47,56,10,3.86291294458146,5.81678961621745
1,2,65,76,12,11.2040984671206,22.4032261824596
1,3,4,10,7,3.9961362659863,7.79928657265128
1,3,14,35,22,4.92701150149096,8.15758999764036
1,3,38,44,7,3.35613757116706,7.01682578589622
1,3,47,57,11,3.53733223032243,6.07293103118328
1,3,67,75,9,10.743027111373,20.1923488326075
1,4,2,11,10,3.1875800774846,6.10273205772558
1,4,14,59,46,4.12917471646262,8.34526949966281
1,4,69,77,9,9.2733657747843,18.2890039290754
1,5,2,62,61,4.12787023919671,8.91024081627007
1,5,69,80,12,8.88536883987931,17.9990711591212
1,5,83,88,6,2.08044292874995,5.03205481019099
1,6,2,28,27,3.4334509317633,9.10296520944795
1,6,30,66,37,4.52815367920909,8.07394991540079
1,6,70,89,20,5.60452224020628,12.4682824306366
1,7,2,27,26,3.453171062925,8.28966405406636
1,7,31,67,37,3.98549866370053,11.8198761971569
1,7,70,89,20,4.46197824347452,6.4288613949642
1,8,2,27,26,3.21723179048073,8.17466887050447
1,8,30,60,31,4.14052518785943,11.5094724749938
1,8,71,89,19,3.31388131962059,8.4746986004268
1,9,2,69,68,3.02248108642457,9.70688453281228
1,9,72,89,18,3.1918513173718,7.96795309333497
1,10,2,58,57,2.98372794865758,8.50729975492442
1,10,62,89,28,2.4069909916372,6.18201883436129
1,11,2,28,27,3.29720139481901,7.41009517537685
1,11,32,57,26,2.66357736882685,7.13766058229275
1,11,62,89,28,2.58775553876862,7.56892528393228
1,12,2,28,27,3.30242062210685,8.07526150714948
1,12,32,58,27,2.28428157358113,5.84980405683031
1,12,62,89,28,2.39563871099432,7.90771393537331
1,13,2,28,27,3.31354397803643,8.34870783997811
1,13,31,58,28,2.19981685681701,5.31154689385753
1,13,61,89,29,2.32832224945491,7.32473867556467
1,14,2,27,26,3.93099262333259,8.06094607383001
1,14,32,89,58,2.22313314597456,5.31124467704463
1,15,2,27,26,3.57970384996615,6.51394189554396
1,15,31,89,59,2.18167454129745,5.75651093621055
1,16,2,27,26,3.27693976576613,5.62529647244921
1,16,61,89,29,2.52629509727868,6.61294503959014
1,17,2,27,26,3.01846294587643,5.2055688724706
1,17,61,89,29,2.44090925702995,5.78388505917296
1,18,2,27,26,2.80641083600606,4.92574750287316
1,18,62,89,28,2.37999574330307,5.05813856129626
1,19,2,26,25,2.81651361621863,4.97418873330407
1,19,62,89,28,2.47026611540284,5.68417700736341
1,20,2,26,25,2.86895732090763,5.26130885283939
1,21,2,26,25,2.58866187698206,4.60978414086496
1,22,2,26,25,2.48461633295736,4.21047704370939
1,23,2,26,25,2.25254531786399,4.26166020765625
1,24,2,26,25,2.26865997764793,4.44053126484815
1,24,46,58,13,2.07001702740037,5.05266965213368
1,24,62,89,28,2.31449948078556,4.0418707511858
1,25,2,26,25,2.11222323712669,3.54092113371041
1,25,46,58,13,2.03699098623501,4.89780956760759
1,25,62,89,28,2.22654606152159,4.043446157277
1,26,2,26,25,2.03541018537888,3.76025072756972
1,27,2,26,25,2.03929677044506,4.45302546850879
1,30,48,57,10,2.16402882884718,4.79617794405513
1,38,48,57,10,2.27467099799747,5.01169875618988
1,41,49,57,9,2.03651983169996,4.44276803840088
1,44,48,57,10,2.10322646079131,4.90092199357607
1,45,49,57,9,2.33802356683145,4.98448327003413
1,46,48,57,10,2.29384357757401,4.75358224597049
1,47,48,58,11,2.08476009936664,4.74562830098417
1,48,47,57,11,2.45381393486187,5.17105025001484
1,49,47,57,11,2.60129039793439,5.19365408256712
1,50,47,58,12,2.09126049782635,4.71347802800579
1,51,48,57,10,2.58114789940704,5.32291825255971
