"cellIndex","PA_window","Speed","Duration","Frequency","Label","Timing"
1,0,3.24322459827009,55.7267441860465,0.488700564971751,"Control",1
1,1,4.55347686060722,56.9491525423729,0.588235294117647,"Control",1
2,0,7.97549014861709,44.893899204244,0.940298507462687,"Control",1
2,1,6.74067249999111,56.6578947368421,1.06111111111111,"Control",1
3,0,5.78560977507761,77.1141975308642,0.677083333333333,"Control",1
3,1,4.69138292050434,72.2535211267606,0.571428571428571,"Control",1
4,0,3.05713081817916,86.7,0.404761904761905,"Control",1
4,1,2.64091650928235,53.9285714285714,0.357142857142857,"Control",1
5,0,4.42904367322925,99.169014084507,0.554517133956386,"Control",1
5,1,4.26944083940118,39.9056603773585,0.947368421052632,"Control",1
6,0,8.54747955263815,51.907514450867,1.16,"Control",1
6,1,9.07380273163297,56.4347826086956,1.17171717171717,"Control",1
1,0,3.42378597807735,94.3852459016394,0.362003968253968,"Control",0
1,1,4.58010878132403,98.3636363636364,0.559371492704826,"Control",0
2,0,9.42241721265607,61.1937716262976,0.869023569023569,"Control",0
2,1,8.49271563109791,53.4090909090909,1.1508122157245,"Control",0
3,0,4.99168887953565,85.2881844380403,0.695218855218855,"Control",0
3,1,6.2867721397903,63.5714285714286,1.0276688453159,"Control",0
4,0,2.90486257640939,76.7045454545455,0.365853658536585,"Control",0
4,1,2.6555223497082,58.8095238095238,0.488888888888889,"Control",0
5,0,4.10975262464742,100.857142857143,0.428184281842818,"Control",0
5,1,6.25729126721769,83,0.767676767676768,"Control",0
6,0,10.2678393036508,65.7894736842105,1.00877192982456,"Control",0
6,1,9.66996095487501,58.8524590163934,1.32258064516129,"Control",0
1,0,9.65576563470597,53.2960893854749,1.5,"Mutant",1
1,1,13.7761743542069,42.2463768115942,0.972222222222222,"Mutant",1
2,0,12.3002237992295,115.367647058824,0.761111111111111,"Mutant",1
2,1,14.8894432583976,39.5,0.53125,"Mutant",1
3,0,9.00881092951902,70.5389221556886,1,"Mutant",1
3,1,12.307454787535,53.9406779661017,1.36781609195402,"Mutant",1
4,0,11.0733494983176,92.9666666666667,1.09420289855072,"Mutant",1
4,1,12.9598427705075,94.5689655172414,1.22916666666667,"Mutant",1
5,0,10.7046609885227,58.8,1.54545454545455,"Mutant",1
5,1,13.7415333440954,55,1.7843137254902,"Mutant",1
6,0,8.73667263186903,75.5868544600939,1.45578231292517,"Mutant",1
6,1,8.74761916853029,94.5631067961165,1.33333333333333,"Mutant",1
7,0,9.84631140089957,52.9646017699115,1.25925925925926,"Mutant",1
7,1,10.3338285096295,40.1136363636364,1.41269841269841,"Mutant",1
1,0,3.83214179831697,55.4455445544554,0.781912144702842,"Mutant",0
1,1,4.4553438963773,58.3823529411765,0.524410774410774,"Mutant",0
2,0,10.9352177572156,96.4583333333333,0.85970970970971,"Mutant",0
2,1,15.1885464250557,42.3809523809524,0.488761174968072,"Mutant",0
3,0,7.88651847802185,64.4488188976378,0.897714736012608,"Mutant",0
3,1,10.0489546582201,58.9925373134328,1.17105263157895,"Mutant",0
4,0,10.7351430745483,55.9405940594059,1.3382962962963,"Mutant",0
4,1,8.55897302957987,57.6056338028169,1.31851851851852,"Mutant",0
5,0,3.2859917328022,55,0.608547008547009,"Mutant",0
5,1,2.33821431666667,30,0.0941798941798942,"Mutant",0
6,0,5.18343128396312,79.4642857142857,1.10062774639046,"Mutant",0
6,1,5.73516438048842,77.3484848484848,1.10425925925926,"Mutant",0
7,0,7.24098879862447,77.3504273504274,0.922178130511464,"Mutant",0
7,1,3.82048695485997,54.5588235294118,0.549382716049383,"Mutant",0
